Topic,"Title (for model laws include the word ""Model"" in title)",Short Title (only for Exemplary),Year (if unknown for Model look at effective date - use same year if July/prior year if January),Source,Source Website,State (multiple states separated by a comma) ,"Format (Model, Exemplary, Support)","Level (State, County, Municipal)","Type (Bill, Act/Ordinance, Executive Order, Referendum, Administrative Rule, Constitutional Amendment, Report, Other)",Web Folder Link to PDF,Web Folder Path to PDF,Web Folder Link to Word Doc,Summary,Bill Number,Web Folder Link to Bill PDF,Legislative History,Alternative Terms,(Internal Notes)
Infrastructure Bank,2012 California Senate Bill 1484 ,"The Bergeson-Peace Infrastructure and Economic 
Development Bank Act ",2012,California Legislature,http://www.legislature.ca.gov/,California,Exemplary,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_and_Workforce_Development/Infrastructure_Bank/2012_California_Senate_Bill_1484.pdf,,,"The Bergeson-Peace Infrastructure and Economic Development Bank Act 
sets forth the duties of the California Infrastructure and Economic 
Development Bank in financing economic development facilities, and 
promoting infrastructure and economic development opportunities in the 
state generally.This bill would require the bank to consult, and 
authorize it to coordinate implementation of its revolving loan program,
 with local and regional revolving loan funds and networks of revolving 
loan funds, for specified purposes.The act requires the bank 
to establish criteria, priorities, and guidelines for the selection of 
public infrastructure projects to receive assistance from the bank, to 
be based on a minimum of specified factors.",,,http://www.leginfo.ca.gov/pub/11-12/bill/sen/sb_1451-1500/sb_1484_bill_20120703_history.html,"Economic Development,I-Bank, Infrastructure. Government Contracting",
State Partnership Bank,2012 Arizona House Bill 2104,,2012,Arizona Legislature,http://www.azleg.gov/,Arizona,Exemplary,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_and_Workforce_Development/State_Partnership_Bank/2012_Arizona_House_Bill_2104.pdf,,,An Act to create a state bank of Arizona,,,http://www.azleg.gov//FormatDocument.asp?inDoc=/legtext/50leg/2r/bills/hb2104o.asp&Session_ID=107,"Economic Development, State Bank, Infrastructure, ",http://www.azleg.gov/legtext/50leg/2r/bills/hb2104p.pdf
State Partnership Bank,2012 California Assembly Bill 2500,,2012,California Legislature,http://www.legislature.ca.gov/,California,Exemplary,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_and_Workforce_Development/State_Partnership_Bank/2012_California_Assembly_Bill_2500.pdf,,,"This bill would establish the California Investment Trust within
state government, and would authorize the trust to exercise variouspowers and duties relating to banking, including, among others,
receiving and managing deposits from public funds, loaning money,
engaging in financial transactions, and buying and selling federal
funds. The bill would require all state money, as defined, to be
deposited into the California Investment Trust. The bill would
establish a California Investment Trust Board to be chaired by the
Treasurer, and would establish an advisory board for purposes of
advising the board. The bill would establish the California
Investment Trust Fund for deposit of all state moneys, and would
continuously appropriate those moneys to the board for expenditure,
thereby making an appropriation of General Fund moneys. The bill
would require the State Auditor to make specified audits of the
trust, and require the State Auditor, Department of Finance, and the
Controller to make specified reports to the Legislature with regard
to the trust.",,,http://www.leginfo.ca.gov/pub/11-12/bill/asm/ab_2451-2500/ab_2500_bill_20120424_history.html,"Economic Development, State Bank, State Investent Trust",
State Partnership Bank,2012 Hawaii House Bill 2103,,2012,Hawaii Legislature,http://www.capitol.hawaii.gov/,Hawaii,Exemplary,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_and_Workforce_Development/State_Partnership_Bank/2012_Hawaii_House_Bill_2103.pdf,,,"An act which Directs
 the Department of Commerce and Consumer Affairs to conduct a comprehensive 
review of relevant state laws to develop legislation to establish the 
bank of the State of Hawaii 
 Appropriates funds to conduct the review.  Directs the Hawaii housing 
and finance and development corporation to establish and operate an 
interim purchase program for distressed residential properties 
encumbered by problematic mortgages until the bank of the State of 
Hawaii is operational.  Establishes minimum percentages of state funds 
that shall be deposited in the bank of the State of Hawaii",,,http://www.capitol.hawaii.gov/measure_indiv.aspx?billtype=HB&billnumber=2103,"Foreclosure, State Bank",
State Partnership Bank,2012 Illinois House Bill 5010,,2012,Illinois Legislature,http://www.ilga.gov/,Illinois,Exemplary,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_and_Workforce_Development/State_Partnership_Bank/2012_Illinois_House_Bill_5010.pdf,,,"An act which creates the State Bank of Illinois Act. Establishes The State Bank ofIllinois and the State Bank of Illinois Board. Sets forth the membership ofthe State Board. Provides that the State Board shall appoint an advisoryboard of directors. Provides that the State Bank may accept deposits ofprivate funds and public funds. Sets forth the powers of the State Bank.Provides that all deposits in the State Bank are guaranteed by the State.Provides that, whenever any public funds are deposited into the State Bank,the public official who deposited the funds is exempt from liability forloss of the funds while they are deposited in the State Bank. Amends theFreedom of Information Act to provide that certain records of the StateBank are exempt from disclosure.",,,http://www.ilga.gov/legislation/BillStatus.asp?DocNum=5010&GAID=11&DocTypeID=HB&LegId=64956&SessionID=84&GA=97,State Bank,
State Partnership Bank,2012 Mississippi House Bill 996,,2012,Mississippi Legislature,http://billstatus.ls.state.ms.us/,Mississippi,Exemplary,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_and_Workforce_Development/State_Partnership_Bank/2012_Mississippi_House_Bill_996.pdf,,,"An act for the purpose of encouraging and promoting agriculture, commerce and industry, the State of Mississippi shall engage in the business of banking, and for that purpose shall maintain a system of banking owned, controlled and operated by it,  under the name of the State Bank of Mississippi",,,http://billstatus.ls.state.ms.us/2012/pdf/history/HB/HB0996.xml,State Bank,http://billstatus.ls.state.ms.us/documents/2012/html/HB/0900-0999/HB0996IN.htm
State Partnership Bank,2012 New Hampshire House Bill 1691,,2012,New Hampshire Legislature,http://www.nh.gov/,New Hampshire,Exemplary,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_and_Workforce_Development/State_Partnership_Bank/2012_New_Hampshire_House_Bill_1691.pdf,,,An act to create a Bank of New Hampshire,,,http://www.gencourt.state.nh.us/bill_status/bill_docket.aspx?lsr=2285&sy=2012&sortoption=billnumber&txtsessionyear=2012&txtbillnumber=hb1691,State Bank,
State Partnership Bank,2012 South Carolina House Bill 4822,,2012,South Carolina Legislature,http://www.scstatehouse.gov/,South Carolina,Exemplary,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_and_Workforce_Development/State_Partnership_Bank/2012_South_Carolina_House_Bill_4822.pdf,,,An act to create a ban of South Carolina,,,http://www.scstatehouse.gov/sess119_2011-2012/bills/4822.htm,State Bank,
Statewide Industry Sector Initiative,2012 California Senate Bill 1401,,2012,California Legislature,http://www.legislature.ca.gov/,California,Exemplary,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_and_Workforce_Development/Statewide_Industry_Sector_Initiative/2012_California_Senate_Bill_1401.pdf,,,"This bill makes several changes to statute governing workforce investment in order to emphasize a ""sector strategy.""  the act defines sector strategy as methods of prioritizing investments in competitive and emerging industry sectors and industry clusters on the basis of the labor market and other economic data indicating strategic growth potential, especially with regards to jobs and income, as specified.  The act also requires the state to develop a California Industry Sector initiative  to serve as the cornerstone of the California Workforce Investment Board (CWIB) and provide a framework for the state workforce investments and support for sector strategies.  The act also Defines industry sector as those firms that produce similar products or provide similar services using somewhat similar business processes, and are closely linked by workforce needs, ",,http://www.leginfo.ca.gov/pub/11-12/bill/sen/sb_1401-1450/sb_1401_bill_20120224_introduced.pdf,http://www.leginfo.ca.gov/pub/11-12/bill/sen/sb_1401-1450/sb_1401_bill_20120808_history.html,"Workforce Development, Industry Sectors, Clusters, Economic Development, High Priority Occupation, Sector Strategies, ","Bill is still moving through the legislature. ""Current link to asset"" is the most recent version of it."
Election Day Registration,Provisional Voting Model Bill,,2012,Project Vote,http://www.projectvote.org/,,Model,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Voting_and_Elections/Election_Day_Registration/Provisional_Voting_Model_Bill.pdf,,,"This bill authorizes that issuance of provisional ballots for a person who would otherwise be denied an opportunity to vote a regular ballot and requires that provisional ballots be distinguishable from regular ballots, be designed so that they are unable to be tallied by precinct voting machines, and be designed so as to serve as a voter registration application.  This bill requires that poll workers be trained to administer provisional voting in an accurate and consistent manner and that poll workers make every effort to establish a person's correct polling place before issuing a provisional ballot.  This bill establishes polling place procedures and requires for distribution and receipt of provisional ballots and the number of ballots required at each polling place.",,,,,
Public Financing of Elections,Model California Campaign Reform Act of 2012,,2012,Policy Archive,http://www.policyarchive.org/,California,Exemplary,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Voting_and_Elections/Public_Financing_of_Elections/Model_California_Campaign_Reform_Act_of_2012.pdf,,,"This bill requires candidates to raise a certain number of contributions ranging from 750 contributions of $5 or more for Assembly candidates, to 25,000 contributions of $5 or more for gubernatorial candidates. In addition, Assembly candidates must raise at least $25,000. Candidates for State Senate will have to raise twice as much as Assembly candidates. Gubernatorial candidates must raise at least $1.5 million. Other statewide candidates must raise at least 15,000 contributions totaling at least $250,000. Qualifying funds may only come from individuals who are residents of the state.",,,,,
Anti-Bullying ,2012 New York Senate Bill 7740,,2012,New York Legislature,http://assembly.state.ny.us/,New York ,Exemplary,State,Bill ,http://www.BrandeisProject.org/Alice/Web_Folder/Education/Anti-Bullying/2012_New_York_Senate_Bill_7740.pdf,,,"This legislation will protect students from cyberbullying as well as
harassment, bullying and discrimination by requiring school districts
to: (1) establish protocols to respond to cyberbullying, harassment,
bullying and discrimination, including designating a school official to
receive and investigate reports, prompt reporting and investigation; (2)
take actions to prevent recurrences; (3) coordinate with law enforcement
when appropriate; (4) develop a bullying prevention strategy; and (5)
provide notice to all school community members of the school's policies.
It would also set training requirements for current and new school
employees.",,,http://assembly.state.ny.us/leg/?default_fld=&bn=S07740&term=2011&Actions=Y,"Bullying, GLBT, Gay, Lesbian",
Corporate Tax Disclosure Requirements,2012 Illinois Senate Bill 282,Illinois Corporate Tax Disclosure and Responsibility Act,2012,Illinois Legislature,http://www.ilga.gov/,Illinois,Exemplary,State,Bill ,http://www.BrandeisProject.org/Alice/Web_Folder/Revenue_And_Budget/Corporate_Tax_Disclosure_Requirements/2012_Illinois_Senate_Bill_282.pdf,,,"The Illinois Corporate Tax Disclosure and Responsibility Act will require publicly traded corporations and their subsidiaries to disclose certain tax information if they do business in the state. The information would then be available to the public two years after the end of the tax year. After which, the information will be made available through a searchable internet database created by the Secretary of State. Information that corporations must disclose includes the corporation's"" before and after tax income; tax credits claimed; and the total taxable income.",,,http://www.ilga.gov/legislation/BillStatus.asp?DocNum=282&GAID=11&DocTypeID=SB&LegId=55093&SessionID=84&GA=97,,
Income Tax on High Earners,2012 Rhode Island House Bill 7729,,2012,Rhode Island Legislature,http://www.rilin.state.ri.us/,Rhode Island ,Exemplary,State,Bill ,http://www.BrandeisProject.org/Alice/Web_Folder/Revenue_And_Budget/Income_Tax_on_High_Earners/2012_Rhode_Island_House_Bill_7729.pdf,,,"A Rhode Island bill that would raise the income tax for those who make more than $250,000 a year from 5.99% to 9.99%. The tax rate would decrease 1% for each 1% reductionin state unemployment.",,,,,Got this far - JK 9/5 12:45pm
Small Business Tax Credits,2012 Rhode Island House Bill 7644,The Job Creation Incentive Act,2012,Rhode Island Legislature,http://www.rilin.state.ri.us/,Rhode Island,Exemplary,State ,Bill ,http://www.BrandeisProject.org/Alice/Web_Folder/Revenue_And_Budget/Small_Business_Tax_Credits/2012_Rhode_Island_House_Bill_7644.pdf,,,"An act meant to spur the development of new business by providing a 50% tax deduction for new businesses in their first three years of operation, and a 25% deduction in the three years following that. The act prohibits employers from taking advantage of this act if they are already receiving employee-hire related tax break from another source. The act also restricts who qualifies as an ""employee"" for the purposes of receiving the tax break.",,,http://status.rilin.state.ri.us/,,
State Gambling Revenue for Education, 2012 Rhode Island Senate Bill 2737 ,,2012,Rhode Island Legislature,http://www.rilin.state.ri.us/,Rhode Island ,Exemplary,State,Bill ,http://www.BrandeisProject.org/Alice/Web_Folder/Revenue_And_Budget/State_Gambling_Revenue_for_Education/2012_Rhode_Island_Senate_Bill_2737.pdf,,,"This act provides that additional state revenues gained from the expansion of gambling would be allocated for elementary and secondary education, property tax relief and other needs in the state.",,,http://status.rilin.state.ri.us/,,
Net Metering and Smart Metering,2012 Washington House Bill 1049,,2012,Washington Legislature,http://www.leg.wa.gov/pages/home.aspx,Washington,Exemplary,State,Bill ,http://www.BrandeisProject.org/Alice/Web_Folder/Energy_and_Environment/Net_Metering_and_Smart_Metering/2012_Washington_House_Bill_1049.pdf,,,Sets the rules and terms for a net metering program. ,,,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1049,,
Health Insurance Exchanges,2012 New York Executive Order Number 42,,2012,New York Governor,http://www.governor.ny.gov/,New York,Exemplary,State,Executive Order,http://www.BrandeisProject.org/Alice/Web_Folder/Health/Health_Insurance_Exchanges/2011_New_York_Executive_Order.pdf,,,"The Exchange will allow New Yorkers to obtain health coverage and facilitate the purchase and sale of qualified health plans in this state. Additionally, the Exchange will ensure that eligible small businesses and individuals receive premium tax credits and cost-sharing reductions. The Exchange will connect New Yorkers and businesses to health insurance that will be made available by the Affordable Care Act. 
With the Exchange and the tax subsidies that will be available as a result of the Affordable Care Act, individuals who currently buy their coverage directly will see their cost drop by 66 percent. The Exchange will also enable small businesses to cut costs. As a result of the increasing cost of health care, an increasing number of small businesses cannot afford to purchase health insurance coverage for their workers. With the Exchange, small businesses will see the cost of providing coverage to their employees drop by 22 percent.The Executive Order allows for regional advisory committees consisting of consumer advocates, small business consumer representatives, health care providers, agents, brokers, insurers, labor organizations, and any other appropriate stakeholders to advise and make recommendations on the establishment and operation of the Exchange, including recommendations about relevant regional factors. The advisory committees will provide opportunities for public input.",,,,"Patient Protection and Affordable Care Act, Obamacare, Health Care Security, Health Insurance",
Buy American,"""Buy American"" Bill Introduced",,2012,Lincoln Journal Star,http://journalstar.com/,Nebraska,Support,State,Other,http://www.BrandeisProject.org/Alice/Web_Folder/Government_Performance/Buy_American/Buy_American_Bill_Introduced.pdf,,,A newspaper article discussing the introduction of Nebraska's Buy American Act. ,,,,"Local Procurement, Government Procurement, Government Contracting,",
Open Source Policy,2012 Raleigh North Carolina Technology and Communication Committee Minutes,,2012,Technology Communication Committee of the City of Raleigh,http://www.raleighnc.gov/government/news/content/CorNews/Articles/TechnologyCommunicationsCommittee.html,North Carolina,Support,Municipal,Other,http://www.BrandeisProject.org/Alice/Web_Folder/Government_Performance/Open_Source_Policy/2012_Raleigh_North_Carolina_Technology_and_Communication_Committee_Minutes.pdf,,,"An act to encourage open access to government data and the use of open 
source software. The resolution includes language that puts open source 
software on the same playing field as proprietary software in the 
procurement process. It also establishes an open data catalog to house 
data available from the city.",,,,"Freedom of Information, Public Records, Government Records, FOIA, Open Records",City Council Resolution Proposed by one city council committee
Building Energy Performance Audits and Disclosure,Benchmarking and Disclosure Model Policy Design and Policy Language,,2012,State and Local Energy Efficiency Action Network ,http://www1.eere.energy.gov/seeaction/,,Model ,State,Other,http://www.BrandeisProject.org/Alice/Web_Folder/Energy_and_Environment/Building_Energy_Performance_Audits_and_Disclosure/Benchmarking_and_Disclosure_Model_Policy_Design_and_Policy_Language.pdf,,,Requires energy performance benchmarking and disclosure for commercial buildings ,,,,,
State and Public Access to Highly Valued Contracts,Minnesota Information Policy Analysis Division Answers Regarding Contracts Between Government and the Private Sector,,2012,Information Policy Analysis Division,http://www.ipad.state.mn.us/,Minnesota,Support,State,Other ,http://www.BrandeisProject.org/Alice/Web_Folder/Government_Performance/State_and_Public_Access_to_Highly_Valued_Contracts/Minnesota_Information_Policy_Analysis_Division_Answers_Regarding_Contracts_Between_Government_and_the_Private_Sector.pdf,,,Website on Minnesota's government contracting requirements.,,,,"Government Contract, Public Contract, Government Procurement, FOIA, Freedom of Information Act, Sunshine Law",
Full Service Community Schools,Lightening the Load: A Look at Four Ways that Community Schools Can Support Effective Teaching,,2012,Center for American Progress,http://www.americanprogress.org/,"Oregon, Minnesota, Ohio, Oklahoma, Pennsylvania, Tennessee, Virginia, Indiana, Connecticut, Massachusetts, California",Support,State,Report,http://www.BrandeisProject.org/Alice/Web_Folder/Education/Full_Service_Community_Schools/2012_Lightening_the_Load_Community_Schools_Support_Teaching.pdf,,,"This paper draws on phone interviews conducted with teachers, principals, or sitecoordinators at 14 schools across the country that integrate wraparound serviceswith a strong academic focus to serve large percentages of low-income students.These types of schools are known as “community schools” among education professionals.",,,,"Workforce Development, Community Schools",
State and Public Access to Highly Valued Contracts,Floodlights Instead of Flashlights,,2012,In the Public Interest,http://www.inthepublicinterest.org/,,Support,State,Report,http://www.BrandeisProject.org/Alice/Web_Folder/Government_Performance/State_and_Public_Access_to_Highly_Valued_Contracts/Floodlights_Instead_of_Flashlights.pdf,,,A report on why governments should require private companies performing government contracts to disclore records related to the contracted work. ,,,,"Government Contract, Public Contract, Government Procurement, FOIA, Freedom of Information Act, Sunshine Law",
Wage Law Enforcement,Winning Wage Justice:  A Summary of Research on Wage and Hour Violations in the United States,,2012,National Employment Law Project,http://www.nelp.org/,,Support,"State, County, Municipal",Report,http://www.BrandeisProject.org/Alice/Web_Folder/Labor_Rights_and_Protections/Wage_Law_Enforcement/Winning_Wage_Justice_Summary_of_Research_on_Wage_Theft.pdf,,,"This report summarize the body of research on wage theft, focusing on reports that use various survey- based methodologies to document wage and hour violations experienced by low-wage workers in industries and regions across the country.   Although this review focuses primarily on survey-based research, it also highlights key non survey-based reports that, using a mix of worker interviews, legal and historical analyses, and reviews of existing research, also find severe workplace exploitation across low-wage industries.  The report's goal is to provide communities with research they can use in their advocacy and organizing efforts to win wage justice. ",,,,Wage Theft,
Wage Law Enforcement,Winning Wage Justice:  Talking Points on the Need for Stronger  Anti-Wage Theft Laws,,2012,National Employment Law Project,http://www.nelp.org/,,Support,"State, County, Municipal",Report,http://www.BrandeisProject.org/Alice/Web_Folder/Labor_Rights_and_Protections/Wage_Law_Enforcement/Winning_Wage_Justice_Talking_Points.pdf,,,,,,,Wage Theft,
Complete Streets,Complete Streets Local Policy Workbook,,2012,National Complete Streets Coalition,http://www.completestreets.org/,,Support,"County, Municipal",Report,http://www.BrandeisProject.org/Alice/Web_Folder/Infrastructure_and_Smart_Growth/Complete_Streets/Complete_Streets_Local_Policy_Workbook.pdf,,,"Rather than presenting a single model policy, we are offering a guide based on existing examples from around the country to help walk you through developing the right policy for your community. We strongly encourage you to think carefully about your community’s needs, vision, and goals. Draw from existing best practices, but be sure to tailor that language to best fit your community. This workbook is designed to be used in conjunction with our latest edition of Complete Streets Policy Analysis, where you can find many examples of well-written existing policy language, often in your own region or state. Remember: good language is not specific to the type of policy written, and inspiration can come from many sources. ",,,,"Public Transportation, Bike Policy, Urban Planning",
Benefits Corporations,Benefit Corporation White Paper: The Need and Rationale for Benefit Corporations,,2012,Benefit Corporation Information Center,http://benefitcorp.net/,,Support,State,Report,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_and_Workforce_Development/Benefits_Corporations/The_Need_and_Rationale_for_Benefit_Corporations_April_2012.pdf,,,"The purpose of this white paper is to set out the need and rationale for
benefits corporations.  The paper includes a brief discussion of 
demand in the market by business leaders and investors, an analysis of 
why current legal frameworks do not accommodate the activities of 
mission-driven private sector entities, a discussion of the benefit 
corporation form, why the model legislation is drafted the way it is and
 why it is the legal form that best addresses the needs of social 
entrepreneurs, investors and, ultimately, the public.",,,,"Economic Development, Benefit Corporation, Corporate Responsibility, 
Corporate Transparancy, Public Purpose Corporation, Special Purpose 
Corporation,",
Land Capture Financing,Property Tax Modernization Model Act,,,Just Economics,http://www.justeconomicsllc.com/,,Model ,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Infrastructure_and_Smart_Growth/Land_Value_Tax/Property_Tax_Modernization_Model_Act.pdf,,,"an owner who improves a building is penalized with higher taxes while an owner  who allows a building to deteriorate is rewarded with lower taxes.  This upside‐down structure  of the traditional property tax facilitates land speculation while also making it more expensive  to construct, improve and maintain buildings.  Some jurisdictions are remedying this situation  by transforming their property tax into a “value capture user fee.”   ",,,,"Value Capture, Property Tax Modernization, ",
Citizens Utility Board,Citizens’ Utility Board Incorporation Model Act ,,,Center for Study of Responsive Law,http://csrl.org/,,Model ,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Energy_and_Environment/Citizens_Utility_Board/Citizens_Utility_Board_Incorporation_Model_Act.pdf,,,A Model Act to create a citizen's utility board. ,,,,,
Climate Change Impact Assessment,Global Warming Impact Assessment Commission Model Act,,,Center for Policy Alternatives,,,Model ,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Energy_and_Environment/Climate_Change_Impact_Assessment/Global_Warming_Impact_Assessment_Commission_Model_Act.pdf,,,The Global Warming Impact Assessment Commission Act creates a commission to study the direct effects of global climate change on the state’s economy and natural resources,,,,,
Anti-Bullying,State Anti-Bullying and Harassment Model Act,,,GLSEN,http://www.glsen.org/cgi-bin/iowa/all/home/index.html,,Model ,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Education/Anti-Bullying/State_Anti-Bullying_and_Harassment_Model_Act.pdf,,,"To combat bullying in schools, states across the country have enacted legislation and policies that are comprehensive (requires policy development, reporting mechanisms and educator and student training) and enumerate the categories of students protected (including actual or perceived sexual orientation and gender identity).",,,,"GLBT, Gay, Lesbian",
"Subsidy Transparency and Clawbacks, Unified Economic Development Budget and Reporting",Economic Development and Fiscal Accountability Model Act,,,Good Jobs First ,http://www.goodjobsfirst.org/,,Model,State ,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Revenue_And_Budget/Unified_Economic_Development_Budget_and_Reporting/Economic_Development_and_Fiscal_Accountability_Model_Act.pdf,,,"A model act which increases reporting requirements for economic development subsidy recipients, requires the Department of Revenue to submit unified economic development reports to the legislature and requires reported information be publicly accessible. ",,,,,
Equal Pay Remedies and Enforcement,Equal Pay Remedies and Enforcement Model Act ,,,Center for Policy Alternatives,,,Model,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Labor_Rights_and_Protections/Equal_Pay_Remedies_and_Enforcement/Equal_Pay_Remedies_and_Enforcement_Act.pdf,,X:/COWS Program/ALICE/Web_Folder/Labor_Rights_and_Protections/Equal_Pay_Remedies_and_Enforcement/B&L6 - Equal Pay Remedies and Enforcement Act.doc,"States can enact legislation that strengthens enforcement of existing laws, addresses the causes of unequal pay, and requires equal pay for equivalent work. One option, the Equal Pay Remedies and Enforcement Act, enhances existing laws and establishes a multi-sector Equal Pay Commission to study the extent, causes and consequences of wage disparities. Another option, the Fair Pay Act, prohibits pay differentials between women and men and between minority and non-minority workers in jobs that are equal or require equivalent skill, effort, responsibility and working conditions. States can also enact laws that prohibit wage discrimination on basis of gender or race. ",,,,"Equal Pay, Fair Pay",
Wage Law Enforcement,Wage Law Enforcement Model Language,,,Progressive States Network,http://www.progressivestates.org/sync/pdfs/WageLawEnforcementModelLanguage0208.pdf,,Support,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Labor_Rights_and_Protections/Wage_Law_Enforcement/Wage_Law_Enforcement_Model_Language.pdf,,,"Since most states have wage law enforcement language, the following is language that can either be substituted for or added to existing language in various sections of existing law to strengthen enforcement.",,,,Wage Theft,
Whistleblower Protection, Proposed National Whistleblower Protection Act ,,,National Whistleblowers Center,http://www.whistleblowers.org/index.php,,Model ,Other,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Labor_Rights_and_Protections/Whistleblower_Protection_For_Employees_Of_Financial_Institutions/Proposed_National_Whistleblower_Protection_Act.pdf,,,"An act making it unlawful employment practice for an employer todiscriminate or retaliate against any employee or applicant for employment becausethe employee made a protected disclosure or because the employee has opposedany practice made an unlawful employment practice by this amendment, or becausethe employee has made a charge, testified, assisted or participated in any manner inan investigation, proceeding, or hearing under this provision or other provision offederal law.",,,,"Whistleblower, Retaliation",
Open Space Development,Open Space Development Model Ordinance,,,Environmental Protection Agency,http://www.epa.gov/,,Model ,"County, Municipal",Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Infrastructure_and_Smart_Growth/Open_Space_Development/Open_Space_Development_Model_Ordinance.pdf,,,"The ordinance, which is broken into six sections, introduces the 
purpose of the regulation, defines appropriate terms, discusses design 
criteria and requirements for all open spaces, and outlines appropriate 
open space management strategies.
This document provides sample language for local governments 
interested in promoting open spaces in their community.  The ordinance 
is designed to be flexible enough for any local government to use, but 
is not an exhaustive listing of all language needed to create a local 
ordinance.  It provides a good base that communities can build upon and 
customize to be consistent with the resources available in their 
locality.",,,,"Smart Growth, Urban Sprawl, Urban Planning, Stormwater Runoff, Soil Errosion",http://www.epa.gov/owow/NPS/ordinance/mol3.htm#topofpage
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Predatory Mortgage Lending,Home Loan Protection Model Act,,,AARP Policy Institute,http://www.aarp.org/research/ppi/,,Model,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_Security/Predatory_Mortgage_Lending/Home_Loan_Protection_Model_Act.pdf,,,"This bill prohibits or limits certain abusive practices, including flipping, lender encouraging default, excessive fees and fee packing, lending based on equity and not a borrowers ability to repay, graduated payments resulting in a payment that is twice the amount as the average  of earlier scheduled payments, increased interest rate after default, mandatory arbitration limiting the borrower's right to seek judicial relief, and outright fraud and abuse.",,,,,
Unemployment Insurance Coverage For Part-Time Workers,Unemployment Insurance Eligibility for Part-Time Workers Model Act,,,Center for Policy Alternatives,,,Model,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_Security/Unemployment_Insurance_Coverage_For_Part-Time_Workers/Unemployment_Insurance_Eligibility_for_Part-Time_Workers_Model_Act.pdf,,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_Security/Unemployment_Insurance_Coverage_For_Part-Time_Workers/Unemployment_Insurance_Eligibility_for_Part-Time_Workers_Model_Act.doc,The Act makes part-time workers eligible for unemployment benefits.,,,,Unemployment benefits,
Unemployment Insurance Coverage For Victims Of Domestic Violence,Domestic Violence Survivors Access Benefits Model Law,,,National Employment Law Project,http://www.nelp.org/,,Model,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_Security/Unemployment_Insurance_Coverage_For_Victims_Of_Domestic_Violence/Domestic_Violence_Survivors_Access_Benefits_Model_Law.pdf,,,This model law creates a provision in unemployment law that provides benefits to those who must leave a job due to domestic violence or stalking. Survivors of domestic violence are often disqualified from receiving unemployment benefits because domestic violence is not considered good cause for leaving a job. ,,,,,
Ballot Initiative Reform,Ballot Initiative Integrity Model Act,,,Center for State Innovation,http://www.stateinnovation.org/,,Model,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Voting_and_Elections/Ballot_Initiative_Reform/Ballot_Initiative_Integrity_Model_Act.pdf,,,"This bill requires that petition circulators be state voters and compensated on an hourly, not per-signature, basis.",,,,,
Election Day Registration,Model Election Day Registration Legislation,,,Progressive States Network,http://www.progressivestates.org/,,Model,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Voting_and_Elections/Election_Day_Registration/Model_Election_Day_Registration_Legislation.pdf,,,"This bill authorizes polling place election day voter registration and includes procedures for registering, including acceptable item for the purpose of proving residency.  This bill authorizes the same procedures listed for election day registration for updating address information and for registering when a person's name, who has already registered, cannot be found on the voter registry.",,,,,
End Prison-Based Gerrymandering,Ending Prison-based Gerrymandering Model Act,,,Prison Policy Initiative,http://www.prisonpolicy.org/,Oregon,Model,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Voting_and_Elections/End_Prison-Based_Gerrymandering/Ending_Prison-based_Gerrymandering_Model_Act.pdf,,,"This bill requires the state Department of Corrections to, over time, improve its collection of home address information, and develop procedures to use existing data to adjust the federal census prior to redistricting in order to end prison-based gerrymandering without waiting for the United States Census Bureau to change where it counts incarcerated people.",,,,,
